Tag,OS,OpenRTM-aist,C++,Python,Java,RTShell,OpenRTP,Note
latest,Ubuntu 16.04 64bit,1.2.0,O,O,O,O,O,w/RDP
ubuntu1204_openrtm112-desktop,Ubuntu 12.04 64bit,1.1.2,O,O,O,O,O,w/RDP
ubuntu1404_openrtm112-desktop,Ubuntu 14.04 64bit,1.1.2,O,O,O,O,O,w/RDP
ubuntu1604_openrtm112-desktop,Ubuntu 16.04 64bit,1.1.2,O,O,O,O,O,w/RDP
ubuntu1204_openrtm112        ,Ubuntu 12.04 64bit,1.1.2,O,O,O,O,O,
ubuntu1404_openrtm112        ,Ubuntu 14.04 64bit,1.1.2,O,O,O,O,O,
ubuntu1604_openrtm112        ,Ubuntu 16.04 64bit,1.1.2,O,O,O,O,O,
ubuntu1610_openrtm112        ,Ubuntu 16.10 64bit,1.1.2,O,O,O,O,O,
ubuntu1704_openrtm112        ,Ubuntu 17.04 64bit,1.1.2,O,O,O,O,O,
ubuntu1204_openrtm112-cxx    ,Ubuntu 12.04 64bit,1.1.2,O,,,,,
ubuntu1404_openrtm112-cxx    ,Ubuntu 14.04 64bit,1.1.2,O,,,,,
ubuntu1604_openrtm112-cxx    ,Ubuntu 16.04 64bit,1.1.2,O,,,,,
ubuntu1204_openrtm112-Python ,Ubuntu 12.04 64bit,1.1.2,,O,,,,
ubuntu1404_openrtm112-Python ,Ubuntu 14.04 64bit,1.1.2,,O,,,,
ubuntu1604_openrtm112-Python ,Ubuntu 16.04 64bit,1.1.2,,O,,,,
fedora24_openrtm112          ,fedora 24 64bit   ,1.1.2,O,O,O,O,O,
fedora25_openrtm112          ,fedora 25 64bit   ,1.1.2,O,O,O,O,O,
debian8_openrtm112           ,debian 8 64bit    ,1.1.2,O,O,O,O,O,
debian9_openrtm112           ,debian 9 64bit    ,1.1.2,O,O,O,O,O,
ubuntu1404_openrtm120-desktop,Ubuntu 14.04 64bit,1.2.0,O,O,O,O,O,
ubuntu1604_openrtm120-desktop,Ubuntu 16.04 64bit,1.2.0,O,O,O,O,O,
ubuntu1610_openrtm120-desktop,Ubuntu 16.10 64bit,1.2.0,O,O,O,O,O,
ubuntu1704_openrtm120-desktop,Ubuntu 17.04 64bit,1.2.0,O,O,O,O,O,
ubuntu1404_openrtm120        ,Ubuntu 14.04 64bit,1.2.0,O,O,O,O,O,
ubuntu1604_openrtm120        ,Ubuntu 16.04 64bit,1.2.0,O,O,O,O,O,
ubuntu1610_openrtm120        ,Ubuntu 16.10 64bit,1.2.0,O,O,O,O,O,
ubuntu1704_openrtm120        ,Ubuntu 17.04 64bit,1.2.0,O,O,O,O,O,
ubuntu1404_openrtm120-cxx    ,Ubuntu 14.04 64bit,1.2.0,O,,,,,
ubuntu1604_openrtm120-cxx    ,Ubuntu 16.04 64bit,1.2.0,O,,,,,
ubuntu1610_openrtm120-cxx    ,Ubuntu 16.10 64bit,1.2.0,O,,,,,
ubuntu1704_openrtm120-cxx    ,Ubuntu 17.04 64bit,1.2.0,O,,,,,
ubuntu1204_openrtm120-Python ,Ubuntu 12.04 64bit,1.2.0,O,,,,,
ubuntu1404_openrtm120-Python ,Ubuntu 14.04 64bit,1.2.0,,O,,,,
ubuntu1604_openrtm120-Python ,Ubuntu 16.04 64bit,1.2.0,,O,,,,
ubuntu1610_openrtm120-Python ,Ubuntu 16.10 64bit,1.2.0,,O,,,,
ubuntu1704_openrtm120-Python ,Ubuntu 17.04 64bit,1.2.0,,O,,,,
ubuntu1204_openrtm120-java   ,Ubuntu 12.04 64bit,1.2.0,,O,,,,
ubuntu1404_openrtm120-java   ,Ubuntu 14.04 64bit,1.2.0,,,O,,,
ubuntu1604_openrtm120-java   ,Ubuntu 16.04 64bit,1.2.0,,,O,,,
ubuntu1610_openrtm120-java   ,Ubuntu 16.10 64bit,1.2.0,,,O,,,
ubuntu1704_openrtm120-java   ,Ubuntu 17.04 64bit,1.2.0,,,O,,,
